Story,Pier,CaseCombo,Location,P,V2,V3,T,M2,M3
T2,C33,EULS Max,4.25,-2966.158503925541,30.380080345637086,96.99439349631335,0.8475214168585542,81.19421326479602,38.860125858789196
T2,C33,EULS Min,0,-3830.2418349339773,-26.21372911860391,-100.34034554139903,-1.0349549889086076,-345.2522552861499,-72.54822289527742
T2,C33,EULS Min,2.125,-3814.1957005989775,-26.21372911860391,-100.34034554139903,-1.0349549889086076,-132.02902101067693,-16.84404851824411
T2,C33,EULS Min,4.25,-3798.1495662639772,-26.21372911860391,-100.34034554139903,-1.0349549889086076,-52.82212418533493,-45.422517349333084
T2,C34,EULS Max,0,-3752.6721936291383,22.371965508601,104.81271155491737,0.8475214168585541,362.8384195689246,71.81732370975652
T2,C34,EULS Max,2.25,-3735.6821690391384,22.371965508601,104.81271155491737,0.8475214168585541,127.0098185703605,21.480401315404265
T2,C34,EULS Max,4.5,-3718.6921444491386,22.371965508601,104.81271155491737,0.8475214168585541,100.7576119350191,54.81730570011101
T2,C34,EULS Min,0,-4863.79574691509,-29.330580217095914,-96.4159655786917,-1.0349549889086076,-333.11423316909355,-77.17030527682061
T2,C34,EULS Min,2.25,-4846.805722325089,-29.330580217095914,-96.4159655786917,-1.0349549889086076,-116.17831061703723,-11.176499788354796
T2,C34,EULS Min,4.5,-4829.81569773509,-29.330580217095914,-96.4159655786917,-1.0349549889086076,-108.8187824282036,-28.85652107894799
T2,C35,EULS Max,0,-2358.123744438201,27.54347849090825,37.35718645882924,0.48302194881150934,129.33628428980253,67.05560554688854
T2,C35,EULS Max,2.125,-2346.6622199132007,27.54347849090825,37.35718645882924,0.48302194881150934,49.95226306479039,8.525713753708505
T2,C35,EULS Max,4.25,-2335.200695388201,27.54347849090825,37.35718645882924,0.48302194881150934,80.04844808375532,17.164239379810752
T2,C35,EULS Min,0,-3090.612219719251,-14.543823408273012,-53.072461495741614,-0.5898446525726685,-146.56482122512446,-44.64701010534954
T2,C35,EULS Min,2.125,-3079.150695194251,-14.543823408273012,-53.072461495741614,-0.5898446525726685,-33.785840546673555,-13.741385362769392
T2,C35,EULS Min,4.25,-3067.689170669251,-14.543823408273012,-53.072461495741614,-0.5898446525726685,-29.43175816022175,-51.501757787783994
T2,C36,EULS Max,0,-2307.772248165979,13.539399067495847,36.28779149611738,0.48302194881150934,125.84514339958163,46.28848940072322
T2,C36,EULS Max,2.125,-2296.310723640979,13.539399067495847,36.28779149611738,0.48302194881150934,48.7335864703322,18.06237667686034
T2,C36,EULS Max,4.25,-2284.849199115979,13.539399067495847,36.28779149611738,0.48302194881150934,86.51531589416994,54.362447323443874
T2,C36,EULS Min,0,-3175.184955151199,-27.06066643538237,-54.34654908569905,-0.5898446525726685,-146.8733261925321,-63.208653828444014
T2,C36,EULS Min,2.125,-3163.7234306261994,-27.06066643538237,-54.34654908569905,-0.5898446525726685,-31.386909385421593,-5.704737653256471
T2,C36,EULS Min,4.25,-3152.2619061011997,-27.06066643538237,-54.34654908569905,-0.5898446525726685,-28.377970458917243,-11.25395663613412
T2,C37,EULS Max,0,-2532.316400829114,34.676679740224905,63.99056872712644,0.7766659443937064,182.2740461619787,104.99821870518221
T2,C37,EULS Max,2.125,-2517.9894951728643,34.676679740224905,63.99056872712644,0.7766659443937064,49.87361397767455,31.310274257204288
T2,C37,EULS Max,4.25,-2503.6625895166144,34.676679740224905,63.99056872712644,0.7766659443937064,-21.62530465222909,11.167699896305962
T2,C37,EULS Min,0,-3330.4873230442154,-20.941421065041382,-22.285039145027596,-0.9484294766793285,-116.33672101859636,-77.8333396301199
T2,C37,EULS Min,2.125,-3316.160417387965,-20.941421065041382,-22.285039145027596,-0.9484294766793285,-68.98101283541273,-33.332819866906966
T2,C37,EULS Min,4.25,-3301.8335117317156,-20.941421065041382,-22.285039145027596,-0.9484294766793285,-95.04614823360123,-44.18791505753639
T2,C38,EULS Max,0,-1678.870307481629,-3.121070212505078,11.610760384794906,0.7922527649339461,65.99801888621468,5.447385145272449
T2,C38,EULS Max,2.25,-1666.734575631629,-3.121070212505078,11.610760384794906,0.7922527649339461,40.45611460707366,12.469793123408865
T2,C38,EULS Max,4.5,-1654.5988437816288,-3.121070212505078,11.610760384794906,0.7922527649339461,14.914210327932636,20.060611370510983
